State,2016,2017,2018,2019,2020,2021,2022,2023,2024,
ALABAMA,802530,887567,939016,949679,1686696,1181864,1444424,1302322,1143478,
ALASKA,1508944,1217761,1329566,1502146,2525963,1536190,1521116,1181983,1034688,
ARIZONA,9119,16349,25111,17104,38341,32867,18901,20370,8411,
ARKANSAS,712893,813597,739338,732574,1340242,950713,712322,412142,506044,
CALIFORNIA,13795473,13369273,13442294,13529187,24056568,21692737,16615766,12621534,4476625,
COLORADO,1065824,932363,840316,758022,902970,1443858,907816,659339,190253,
CONNECTICUT,897363,871379,895347,893508,1201470,1080234,982898,867536,932328,
DELAWARE,210373,235895,220102,192253,309237,198201,223463,158995,136756, 
DIST. OF COL.,107247,103455,77685,81992,89098,61725,61051,31590,37297,
FLORIDA,329680,84474,34516,17951,16401,31108,47698,30864,3522,
GEORGIA,3530834,3384193,3604031,3965354,7249043,5384649,4620673,3333965,2705602,
GUAM,0,0,0,0,0,0,0,0,0,
HAWAII,556325,482967,533088,588189,1080439,814500,576138,431750,311325,
IDAHO,189962,221828,159614,231631,179527,187514,203838,226408,250911,
ILLINOIS,3005827,3208165,3450480,3719750,6093676,5178455,4245443,2888437,3216902,
INDIANA,278074,292489,255643,229190,483492,394767,235020,145068,125909,
IOWA,458035,491398,477697,466567,920032,499208,394159,291764,239341,
KANSAS,1602877,1332102,896433,690693,844447,538508,483123,359722,262703,
KENTUCKY,1853994,1659503,1690140,1698269,3236194,2317513,1741400,1449454,1187619,
LOUISIANA,836610,769465,295407,585500,1503324,1081903,934548,622414,516046,
MAINE,317330,268487,259166,268383,441169,399457,382244,250869,192337,
MARYLAND,611455,576238,595601,562488,786861,534977,464202,424550,418054,
MASSACHUSETTS,137347,184941,160675,113824,50907,275501,90178,53745,46408,
MICHIGAN,2224207,1835048,2210080,2466099,5429679,5505869,4220852,3678626,3745836,
MINNESOTA,821968,957751,1029597,1043022,1281931,1114090,889959,582937,406196,
MISSISSIPPI,301777,293578,301246,199936,533783,349166,217012,189824,105048,
MISSOURI,2759559,2872825,3064254,3145889,4573525,3417382,2284335,1758352,1389756,
MONTANA,100219,98335,106586,76587,135539,75743,56378,47867,27746,
NEBRASKA,678609,521105,470616,421642,563943,466859,434975,368630,331437,
NEVADA,19120,17308,22178,18421,44603,17095,7921,37979,14389,
NEW HAMPSHIRE,96185,107960,113520,149295,137401,94974,132644,60905,57759,
NEW JERSEY,2012045,2356088,2584703,2480162,3266710,2832386,1908168,1422704,1019232,
NEW MEXICO,848,0,0,0,0,0,0,0,0,
NEW YORK,2498088,2356299,2117210,2303265,4041171,3474380,2295582,2037297,2190884,
NORTH CAROLINA,1824385,1824842,1983074,2044602,2661559,2558830,2426422,2180778,1805972,
NORTH DAKOTA,697312,703067,737957,765253,972989,715874,555488,453078,373003,
OHIO,1611090,1446521,1604155,1801687,2674868,2115005,1953046,1744833,1672228,
OKLAHOMA,3817589,3267936,2627794,2461164,4347790,2595623,1912700,1347001,1137740,
OREGON,1133414,1182197,1500367,674930,677083,2724039,3155984,933427,563290,
PENNSYLVANIA,7225830,6679881,6290051,6689850,7423639,6817455,6122561,4788404,3521219,
PUERTO RICO,213873,227924,261746,259219,582757,543312,456140,307280,332524,
RHODE ISLAND,40434,31512,17580,13146,31488,32734,11214,21712,10789,
SOUTH CAROLINA,1045294,1160243,1285256,1091161,2105213,1736259,1699251,1544312,1214939,
SOUTH DAKOTA,250453,300183,296560,277820,482820,350916,371261,235167,232574,
TENNESSEE,2938432,2400068,1913629,3533377,4766642,3656046,3245615,2999642,2805438,
TEXAS,1459526,1353892,1119759,1065202,1563149,939486,540340,387239,214095,
UTAH,819123,864557,828219,745257,1280665,814537,593374,492543,379738,
VERMONT,37698,53995,17986,5638,5795,4254,1448,13405,7672,
VIRGIN ISLANDS,0,0,0,0,0,2544,0,35,600,
VIRGINIA,1878865,1764906,1813406,1846732,2641280,1935624,1627067,1339651,1307572,
WASHINGTON,206497,201875,158918,147866,235633,183061,95484,-13020,606,
WEST VIRGINIA,317733,226902,255621,280313,535632,346063,290022,180095,119962,
WISCONSIN,2536033,2731497,2938222,3082042,4874692,4291979,4043072,3313240,3235473,
WYOMING,375510,362417,355967,283684,331930,252106,218456,194679,164943,
TOTALS,72759832,69604601,68947523,71167515,113240006,95780140,78673192,60413443,46331219,
